"product_key","product_id","name","category","brand","department"
1273812,13842,"Low Profile Dyed Cotton Twill Cap - Navy W39S55D","Accessories","MG","Women"
1273813,13928,"Low Profile Dyed Cotton Twill Cap - Putty W39S55D","Accessories","MG","Women"
1273814,14115,"Enzyme Regular Solid Army Caps-Black W35S45D","Accessories","MG","Women"
1273815,14157,"Enzyme Regular Solid Army Caps-Olive W35S45D (One Size)","Accessories","MG","Women"
1273816,14273,"Washed Canvas Ivy Cap - Black W11S64C","Accessories","MG","Women"
1273817,15674,"Low Profile Dyed Cotton Twill Cap - Navy W39S55D","Plus","MG","Women"
1273818,15816,"Low Profile Dyed Cotton Twill Cap - Putty W39S55D","Plus","MG","Women"
1273819,28646,"4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki)","Accessories","MG","Men"
1273820,28670,"Low Profile Dyed Cotton Twill Cap - Black W39S55D","Accessories","MG","Men"
1273821,28714,"Low Profile Dyed Cotton Twill Cap - Khaki W39S55D","Accessories","MG","Men"
1273822,28779,"Fishing Hat (01)-Khaki W10S32F","Accessories","MG","Men"
1273823,28904,"Fashion Plaid Ivy Cap - Blue W10S69F","Accessories","MG","Men"
1273824,29007,"Washed Hunting Fishing Outdoor Hat-Camo W11S41D","Accessories","MG","Men"
1273825,12777,"Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl","Swim","MW","Women"
1273826,12810,"Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints","Swim","MW","Women"
1273827,12812,"Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps","Swim","MW","Women"
1273828,12853,"Womens MW Tankini Boyshorts Swimsuit Swimwear Fashion prints S-XXL","Swim","MW","Women"
1273829,12900,"Womens One Piece/bikini Monokini Swimsuit w/ Fringe MW Multiple Prints and Solids","Swim","MW","Women"
1273830,13247,"Womens swimsuit MW Swimwear Set Halter w/ Boyshorts 2 piece bikini multiple prints","Swim","MW","Women"
1273831,13477,"MW Women's Swimsuit Two Piece Black Tankini with Bikini Bottoms","Swim","MW","Women"
1273832,13574,"Womens MW Two Piece Tankini Boyshorts Swimsuit Brown & Turquoise Ethnic Print","Swim","MW","Women"
1273833,2848,"2XU Women's Compression Recovery Sock","Active","2XU","Women"
1273834,3039,"2XU Women's Compression Race Sock","Active","2XU","Women"
1273835,9041,"2XU Women's Compression Race Sock","Socks & Hosiery","2XU","Women"
1273836,13122,"2XU Women's Swimmers Compression Long Sleeve Top","Swim","2XU","Women"
1273837,18147,"2XU Non-Stirrup Compression Calf Guard","Active","2XU","Men"
1273838,18363,"2XU Men's Compression Recovery Tights","Active","2XU","Men"
1273839,18394,"2XU Men's Compression Race Sock","Active","2XU","Men"
1273840,18465,"2XU Men's Elite Compression Performance Sock","Active","2XU","Men"
1273841,18593,"2XU Men's Compression Recovery Sock","Active","2XU","Men"
1273842,18607,"2XU Men's Compression 3/4 Tights","Active","2XU","Men"
1273843,18644,"2XU Men's Elite Compression Long Sleeve Top","Active","2XU","Men"
1273844,18664,"2XU Recovery Compression Leg Sleeves","Active","2XU","Men"
1273845,18708,"2XU Men's Thermal Compression Long Sleeve Top","Active","2XU","Men"
1273846,18796,"2XU Men's Compression Long Sleeve Top","Active","2XU","Men"
1273847,24644,"2XU Men's Compression Race Sock","Socks","2XU","Men"
1273848,24674,"2XU Men's Elite Compression Performance Sock","Socks","2XU","Men"
1273849,24731,"2XU Men's Compression Recovery Sock","Socks","2XU","Men"
1273850,27569,"2XU Men's Swimmers Compression Long Sleeve Top","Swim","2XU","Men"
1273851,3206,"AGB Women's Long Sleeve Striped Sweater Dress","Dresses","AGB","Women"
1273852,3660,"AGB Women's Short Sleeve Cowl Necked Sweater Dress","Dresses","AGB","Women"
1273853,3682,"AGB Women's Striped Long Sleeve Sweater Dress With Sash","Dresses","AGB","Women"
1273854,3730,"AGB Women's V-Neck Dress With Draped Side","Dresses","AGB","Women"
1273855,3943,"AGB Women's Plus-Size Ruched Short Sleeve V-Neck Dress with Empire Waistline","Dresses","AGB","Women"
1273856,5353,"AGB Women's Solid Challis Palazzo Pant With Self Sash","Pants & Capris","AGB","Women"
1273857,5433,"BKE Women's Casual Linen Cotton Natural Comfortable Pants","Pants & Capris","BKE","Women"
1273858,9035,"HDE Women's Solid Color Premium Microfiber Tights","Socks & Hosiery","HDE","Women"
1273859,14170,"HDE Ladies Fashion Leather Skinny Belt with Bow Buckle & Gold Accents","Accessories","HDE","Women"
1273860,28411,"HDE Solid Color Suspenders - 20 Styles","Accessories","HDE","Men"
1273861,28548,"HDE Classic Bow Tie","Accessories","HDE","Men"
1273862,28873,"HDE Colorful Pattern Suspenders","Accessories","HDE","Men"
1273863,29033,"HDE Pattern Suspenders","Accessories","HDE","Men"
1273864,25038,"Huf Plantlife Crew Socks","Socks","Huf","Men"
1273865,17159,"Independent Trading Co. Mens Sherpa Lined Full-Zip Contrast Hooded Sweatshirt (Assorted Colors)","Fashion Hoodies & Sweatshirts","ITC","Men"
1273866,5357,"(1272) Ladies Wide Leg Smart City Trousers Light Brown","Pants & Capris","Ice","Women"
1273867,5440,"(1272) Wide Leg Smart Soft City Trousers Black","Pants & Capris","Ice","Women"
1273868,5474,"(1279) Skinny Trousers Military Army Look Camourflage","Pants & Capris","Ice","Women"
1273869,7234,"(2384) Fishtail Peplum Hem Pencil Skirt Black","Skirts","Ice","Women"
1273870,7236,"ICE (2328) Stretch Black Satin Pencil Skirt-14","Skirts","Ice","Women"
1273871,7246,"(2328) Satin Pencil Skirt with Skinny Belt Purple","Skirts","Ice","Women"
1273872,7377,"(2382) Waist Detail Pencil Skirt Shadow Stripe","Skirts","Ice","Women"
1273873,7448,"(2384) Fishtail Flute Skirt with Free Skinny Belt Beige","Skirts","Ice","Women"
1273874,7903,"ICE (5066) ladies smart herring bone tweed jacket brown 6-16","Blazers & Jackets","Ice","Women"
1273875,8080,"(6252) Pinstripe Tailored Boot Leg Trouser Suit","Suits","Ice","Women"
1273876,8089,"(6249-2) Smart Satin Evening Suit with Flute Skirt Beige","Suits","Ice","Women"
1273877,8093,"ICE (2327) smart stretch pencil skirt + FREE belt black size 6-14","Suits","Ice","Women"
1273878,8101,"ICE (2210) stretch pencil skirt school office navy blue sizes 4-14","Suits","Ice","Women"
1273879,8103,"ICE (6237-2) pinstripe tailored trouser suit dark brown sizes 8-16","Suits","Ice","Women"
1273880,8107,"(6251) Smart Casual Tailored Trouser Suit Dark Grey","Suits","Ice","Women"
1273881,8109,"(6240) Dip Hemmed Flute Skirt Suit Pinstripe Black","Suits","Ice","Women"
1273882,8110,"ICE (2356) stretch pencil skirt smart casual black 4-16","Suits","Ice","Women"
1273883,8139,"(6242) Function Cocktail Lace Bolero Skirt Suit Black","Suits","Ice","Women"
1273884,8145,"(6249-3) Teddy Style Function Suit with Pencil Skirt Grey","Suits","Ice","Women"
1273885,8148,"ICE (6234) smart tailored pencil skirt suit grey stripe sizes 10-18","Suits","Ice","Women"
1273886,8155,"ICE (6237-1) pinstripe tailored trouser suit dark navy blue sizes 8-16","Suits","Ice","Women"
1273887,8158,"ICE (2347) pencil skirt stretch sateen + FREE belt red size 6-16","Suits","Ice","Women"
1273888,8160,"ICE (2328) pencil skirt stretch satin + FREE belt red size 6-16","Suits","Ice","Women"
1273889,8162,"ICE smart stretch pencil skirt beige 4-16","Suits","Ice","Women"
1273890,8185,"ICE (2356) Stretch Pencil Skirt Smart Casual Wine 4-16","Suits","Ice","Women"
1273891,8188,"(6239) Waist Detail Pencil Skirt Suit Shadow Stripe Black","Suits","Ice","Women"
