"date_key","date_id","day","month","year"
1,"2019-01-01","01","01","2019"
2,"2019-01-02","02","01","2019"
3,"2019-01-03","03","01","2019"
4,"2019-01-04","04","01","2019"
5,"2019-01-05","05","01","2019"
6,"2019-01-06","06","01","2019"
7,"2019-01-07","07","01","2019"
8,"2019-01-08","08","01","2019"
9,"2019-01-09","09","01","2019"
10,"2019-01-10","10","01","2019"
11,"2019-01-11","11","01","2019"
12,"2019-01-12","12","01","2019"
13,"2019-01-13","13","01","2019"
14,"2019-01-14","14","01","2019"
15,"2019-01-15","15","01","2019"
16,"2019-01-16","16","01","2019"
17,"2019-01-17","17","01","2019"
18,"2019-01-18","18","01","2019"
19,"2019-01-19","19","01","2019"
20,"2019-01-20","20","01","2019"
21,"2019-01-21","21","01","2019"
22,"2019-01-22","22","01","2019"
23,"2019-01-23","23","01","2019"
24,"2019-01-24","24","01","2019"
25,"2019-01-25","25","01","2019"
26,"2019-01-26","26","01","2019"
27,"2019-01-27","27","01","2019"
28,"2019-01-28","28","01","2019"
29,"2019-01-29","29","01","2019"
30,"2019-01-30","30","01","2019"
31,"2019-01-31","31","01","2019"
32,"2019-02-01","01","02","2019"
33,"2019-02-02","02","02","2019"
34,"2019-02-03","03","02","2019"
35,"2019-02-04","04","02","2019"
36,"2019-02-05","05","02","2019"
37,"2019-02-06","06","02","2019"
38,"2019-02-07","07","02","2019"
39,"2019-02-08","08","02","2019"
40,"2019-02-09","09","02","2019"
41,"2019-02-10","10","02","2019"
42,"2019-02-11","11","02","2019"
43,"2019-02-12","12","02","2019"
44,"2019-02-13","13","02","2019"
45,"2019-02-14","14","02","2019"
46,"2019-02-15","15","02","2019"
47,"2019-02-16","16","02","2019"
48,"2019-02-17","17","02","2019"
49,"2019-02-18","18","02","2019"
50,"2019-02-19","19","02","2019"
51,"2019-02-20","20","02","2019"
52,"2019-02-21","21","02","2019"
53,"2019-02-22","22","02","2019"
54,"2019-02-23","23","02","2019"
55,"2019-02-24","24","02","2019"
56,"2019-02-25","25","02","2019"
57,"2019-02-26","26","02","2019"
58,"2019-02-27","27","02","2019"
59,"2019-02-28","28","02","2019"
60,"2019-03-01","01","03","2019"
61,"2019-03-02","02","03","2019"
62,"2019-03-03","03","03","2019"
63,"2019-03-04","04","03","2019"
64,"2019-03-05","05","03","2019"
65,"2019-03-06","06","03","2019"
66,"2019-03-07","07","03","2019"
67,"2019-03-08","08","03","2019"
68,"2019-03-09","09","03","2019"
69,"2019-03-10","10","03","2019"
70,"2019-03-11","11","03","2019"
71,"2019-03-12","12","03","2019"
72,"2019-03-13","13","03","2019"
73,"2019-03-14","14","03","2019"
74,"2019-03-15","15","03","2019"
75,"2019-03-16","16","03","2019"
76,"2019-03-17","17","03","2019"
77,"2019-03-18","18","03","2019"
78,"2019-03-19","19","03","2019"
79,"2019-03-20","20","03","2019"
80,"2019-03-21","21","03","2019"
81,"2019-03-22","22","03","2019"
82,"2019-03-23","23","03","2019"
83,"2019-03-24","24","03","2019"
84,"2019-03-25","25","03","2019"
85,"2019-03-26","26","03","2019"
86,"2019-03-27","27","03","2019"
87,"2019-03-28","28","03","2019"
88,"2019-03-29","29","03","2019"
89,"2019-03-30","30","03","2019"
90,"2019-03-31","31","03","2019"
91,"2019-04-01","01","04","2019"
92,"2019-04-02","02","04","2019"
93,"2019-04-03","03","04","2019"
94,"2019-04-04","04","04","2019"
95,"2019-04-05","05","04","2019"
96,"2019-04-06","06","04","2019"
97,"2019-04-07","07","04","2019"
98,"2019-04-08","08","04","2019"
99,"2019-04-09","09","04","2019"
100,"2019-04-10","10","04","2019"
101,"2019-04-11","11","04","2019"
102,"2019-04-12","12","04","2019"
103,"2019-04-13","13","04","2019"
104,"2019-04-14","14","04","2019"
105,"2019-04-15","15","04","2019"
106,"2019-04-16","16","04","2019"
107,"2019-04-17","17","04","2019"
108,"2019-04-18","18","04","2019"
109,"2019-04-19","19","04","2019"
110,"2019-04-20","20","04","2019"
111,"2019-04-21","21","04","2019"
112,"2019-04-22","22","04","2019"
113,"2019-04-23","23","04","2019"
114,"2019-04-24","24","04","2019"
115,"2019-04-25","25","04","2019"
116,"2019-04-26","26","04","2019"
117,"2019-04-27","27","04","2019"
118,"2019-04-28","28","04","2019"
119,"2019-04-29","29","04","2019"
120,"2019-04-30","30","04","2019"
121,"2019-05-01","01","05","2019"
122,"2019-05-02","02","05","2019"
123,"2019-05-03","03","05","2019"
124,"2019-05-04","04","05","2019"
125,"2019-05-05","05","05","2019"
126,"2019-05-06","06","05","2019"
127,"2019-05-07","07","05","2019"
128,"2019-05-08","08","05","2019"
129,"2019-05-09","09","05","2019"
130,"2019-05-10","10","05","2019"
131,"2019-05-11","11","05","2019"
132,"2019-05-12","12","05","2019"
133,"2019-05-13","13","05","2019"
134,"2019-05-14","14","05","2019"
135,"2019-05-15","15","05","2019"
136,"2019-05-16","16","05","2019"
137,"2019-05-17","17","05","2019"
138,"2019-05-18","18","05","2019"
139,"2019-05-19","19","05","2019"
140,"2019-05-20","20","05","2019"
141,"2019-05-21","21","05","2019"
142,"2019-05-22","22","05","2019"
143,"2019-05-23","23","05","2019"
144,"2019-05-24","24","05","2019"
145,"2019-05-25","25","05","2019"
146,"2019-05-26","26","05","2019"
147,"2019-05-27","27","05","2019"
148,"2019-05-28","28","05","2019"
149,"2019-05-29","29","05","2019"
150,"2019-05-30","30","05","2019"
151,"2019-05-31","31","05","2019"
152,"2019-06-01","01","06","2019"
153,"2019-06-02","02","06","2019"
154,"2019-06-03","03","06","2019"
155,"2019-06-04","04","06","2019"
156,"2019-06-05","05","06","2019"
157,"2019-06-06","06","06","2019"
158,"2019-06-07","07","06","2019"
159,"2019-06-08","08","06","2019"
160,"2019-06-09","09","06","2019"
161,"2019-06-10","10","06","2019"
162,"2019-06-11","11","06","2019"
163,"2019-06-12","12","06","2019"
164,"2019-06-13","13","06","2019"
165,"2019-06-14","14","06","2019"
166,"2019-06-15","15","06","2019"
167,"2019-06-16","16","06","2019"
168,"2019-06-17","17","06","2019"
169,"2019-06-18","18","06","2019"
170,"2019-06-19","19","06","2019"
171,"2019-06-20","20","06","2019"
172,"2019-06-21","21","06","2019"
173,"2019-06-22","22","06","2019"
174,"2019-06-23","23","06","2019"
175,"2019-06-24","24","06","2019"
176,"2019-06-25","25","06","2019"
177,"2019-06-26","26","06","2019"
178,"2019-06-27","27","06","2019"
179,"2019-06-28","28","06","2019"
180,"2019-06-29","29","06","2019"
181,"2019-06-30","30","06","2019"
182,"2019-07-01","01","07","2019"
183,"2019-07-02","02","07","2019"
184,"2019-07-03","03","07","2019"
185,"2019-07-04","04","07","2019"
186,"2019-07-05","05","07","2019"
187,"2019-07-06","06","07","2019"
188,"2019-07-07","07","07","2019"
189,"2019-07-08","08","07","2019"
190,"2019-07-09","09","07","2019"
191,"2019-07-10","10","07","2019"
192,"2019-07-11","11","07","2019"
193,"2019-07-12","12","07","2019"
194,"2019-07-13","13","07","2019"
195,"2019-07-14","14","07","2019"
196,"2019-07-15","15","07","2019"
197,"2019-07-16","16","07","2019"
198,"2019-07-17","17","07","2019"
199,"2019-07-18","18","07","2019"
200,"2019-07-19","19","07","2019"
201,"2019-07-20","20","07","2019"
202,"2019-07-21","21","07","2019"
203,"2019-07-22","22","07","2019"
204,"2019-07-23","23","07","2019"
205,"2019-07-24","24","07","2019"
206,"2019-07-25","25","07","2019"
207,"2019-07-26","26","07","2019"
208,"2019-07-27","27","07","2019"
209,"2019-07-28","28","07","2019"
210,"2019-07-29","29","07","2019"
211,"2019-07-30","30","07","2019"
212,"2019-07-31","31","07","2019"
213,"2019-08-01","01","08","2019"
214,"2019-08-02","02","08","2019"
215,"2019-08-03","03","08","2019"
216,"2019-08-04","04","08","2019"
217,"2019-08-05","05","08","2019"
218,"2019-08-06","06","08","2019"
219,"2019-08-07","07","08","2019"
220,"2019-08-08","08","08","2019"
221,"2019-08-09","09","08","2019"
222,"2019-08-10","10","08","2019"
223,"2019-08-11","11","08","2019"
224,"2019-08-12","12","08","2019"
225,"2019-08-13","13","08","2019"
226,"2019-08-14","14","08","2019"
227,"2019-08-15","15","08","2019"
228,"2019-08-16","16","08","2019"
229,"2019-08-17","17","08","2019"
230,"2019-08-18","18","08","2019"
231,"2019-08-19","19","08","2019"
232,"2019-08-20","20","08","2019"
233,"2019-08-21","21","08","2019"
234,"2019-08-22","22","08","2019"
235,"2019-08-23","23","08","2019"
236,"2019-08-24","24","08","2019"
237,"2019-08-25","25","08","2019"
238,"2019-08-26","26","08","2019"
239,"2019-08-27","27","08","2019"
240,"2019-08-28","28","08","2019"
241,"2019-08-29","29","08","2019"
242,"2019-08-30","30","08","2019"
243,"2019-08-31","31","08","2019"
244,"2019-09-01","01","09","2019"
245,"2019-09-02","02","09","2019"
246,"2019-09-03","03","09","2019"
247,"2019-09-04","04","09","2019"
248,"2019-09-05","05","09","2019"
249,"2019-09-06","06","09","2019"
250,"2019-09-07","07","09","2019"
251,"2019-09-08","08","09","2019"
252,"2019-09-09","09","09","2019"
253,"2019-09-10","10","09","2019"
254,"2019-09-11","11","09","2019"
255,"2019-09-12","12","09","2019"
256,"2019-09-13","13","09","2019"
257,"2019-09-14","14","09","2019"
258,"2019-09-15","15","09","2019"
259,"2019-09-16","16","09","2019"
260,"2019-09-17","17","09","2019"
261,"2019-09-18","18","09","2019"
262,"2019-09-19","19","09","2019"
263,"2019-09-20","20","09","2019"
264,"2019-09-21","21","09","2019"
265,"2019-09-22","22","09","2019"
266,"2019-09-23","23","09","2019"
267,"2019-09-24","24","09","2019"
268,"2019-09-25","25","09","2019"
269,"2019-09-26","26","09","2019"
270,"2019-09-27","27","09","2019"
271,"2019-09-28","28","09","2019"
272,"2019-09-29","29","09","2019"
273,"2019-09-30","30","09","2019"
274,"2019-10-01","01","10","2019"
275,"2019-10-02","02","10","2019"
276,"2019-10-03","03","10","2019"
277,"2019-10-04","04","10","2019"
278,"2019-10-05","05","10","2019"
279,"2019-10-06","06","10","2019"
280,"2019-10-07","07","10","2019"
281,"2019-10-08","08","10","2019"
282,"2019-10-09","09","10","2019"
283,"2019-10-10","10","10","2019"
284,"2019-10-11","11","10","2019"
285,"2019-10-12","12","10","2019"
286,"2019-10-13","13","10","2019"
287,"2019-10-14","14","10","2019"
288,"2019-10-15","15","10","2019"
289,"2019-10-16","16","10","2019"
290,"2019-10-17","17","10","2019"
291,"2019-10-18","18","10","2019"
292,"2019-10-19","19","10","2019"
293,"2019-10-20","20","10","2019"
294,"2019-10-21","21","10","2019"
295,"2019-10-22","22","10","2019"
296,"2019-10-23","23","10","2019"
297,"2019-10-24","24","10","2019"
298,"2019-10-25","25","10","2019"
299,"2019-10-26","26","10","2019"
300,"2019-10-27","27","10","2019"
301,"2019-10-28","28","10","2019"
302,"2019-10-29","29","10","2019"
303,"2019-10-30","30","10","2019"
304,"2019-10-31","31","10","2019"
305,"2019-11-01","01","11","2019"
306,"2019-11-02","02","11","2019"
307,"2019-11-03","03","11","2019"
308,"2019-11-04","04","11","2019"
309,"2019-11-05","05","11","2019"
310,"2019-11-06","06","11","2019"
311,"2019-11-07","07","11","2019"
312,"2019-11-08","08","11","2019"
313,"2019-11-09","09","11","2019"
314,"2019-11-10","10","11","2019"
315,"2019-11-11","11","11","2019"
316,"2019-11-12","12","11","2019"
317,"2019-11-13","13","11","2019"
318,"2019-11-14","14","11","2019"
319,"2019-11-15","15","11","2019"
320,"2019-11-16","16","11","2019"
321,"2019-11-17","17","11","2019"
322,"2019-11-18","18","11","2019"
323,"2019-11-19","19","11","2019"
324,"2019-11-20","20","11","2019"
325,"2019-11-21","21","11","2019"
326,"2019-11-22","22","11","2019"
327,"2019-11-23","23","11","2019"
328,"2019-11-24","24","11","2019"
329,"2019-11-25","25","11","2019"
330,"2019-11-26","26","11","2019"
331,"2019-11-27","27","11","2019"
332,"2019-11-28","28","11","2019"
333,"2019-11-29","29","11","2019"
334,"2019-11-30","30","11","2019"
335,"2019-12-01","01","12","2019"
336,"2019-12-02","02","12","2019"
337,"2019-12-03","03","12","2019"
338,"2019-12-04","04","12","2019"
339,"2019-12-05","05","12","2019"
340,"2019-12-06","06","12","2019"
341,"2019-12-07","07","12","2019"
342,"2019-12-08","08","12","2019"
343,"2019-12-09","09","12","2019"
344,"2019-12-10","10","12","2019"
345,"2019-12-11","11","12","2019"
346,"2019-12-12","12","12","2019"
347,"2019-12-13","13","12","2019"
348,"2019-12-14","14","12","2019"
349,"2019-12-15","15","12","2019"
350,"2019-12-16","16","12","2019"
351,"2019-12-17","17","12","2019"
352,"2019-12-18","18","12","2019"
353,"2019-12-19","19","12","2019"
354,"2019-12-20","20","12","2019"
355,"2019-12-21","21","12","2019"
356,"2019-12-22","22","12","2019"
357,"2019-12-23","23","12","2019"
358,"2019-12-24","24","12","2019"
359,"2019-12-25","25","12","2019"
360,"2019-12-26","26","12","2019"
361,"2019-12-27","27","12","2019"
362,"2019-12-28","28","12","2019"
363,"2019-12-29","29","12","2019"
364,"2019-12-30","30","12","2019"
365,"2019-12-31","31","12","2019"
366,"2020-01-01","01","01","2020"
367,"2020-01-02","02","01","2020"
368,"2020-01-03","03","01","2020"
369,"2020-01-04","04","01","2020"
370,"2020-01-05","05","01","2020"
371,"2020-01-06","06","01","2020"
372,"2020-01-07","07","01","2020"
373,"2020-01-08","08","01","2020"
374,"2020-01-09","09","01","2020"
375,"2020-01-10","10","01","2020"
376,"2020-01-11","11","01","2020"
377,"2020-01-12","12","01","2020"
378,"2020-01-13","13","01","2020"
379,"2020-01-14","14","01","2020"
380,"2020-01-15","15","01","2020"
381,"2020-01-16","16","01","2020"
382,"2020-01-17","17","01","2020"
383,"2020-01-18","18","01","2020"
384,"2020-01-19","19","01","2020"
385,"2020-01-20","20","01","2020"
386,"2020-01-21","21","01","2020"
387,"2020-01-22","22","01","2020"
388,"2020-01-23","23","01","2020"
389,"2020-01-24","24","01","2020"
390,"2020-01-25","25","01","2020"
391,"2020-01-26","26","01","2020"
392,"2020-01-27","27","01","2020"
393,"2020-01-28","28","01","2020"
394,"2020-01-29","29","01","2020"
395,"2020-01-30","30","01","2020"
396,"2020-01-31","31","01","2020"
397,"2020-02-01","01","02","2020"
398,"2020-02-02","02","02","2020"
399,"2020-02-03","03","02","2020"
400,"2020-02-04","04","02","2020"
401,"2020-02-05","05","02","2020"
402,"2020-02-06","06","02","2020"
403,"2020-02-07","07","02","2020"
404,"2020-02-08","08","02","2020"
405,"2020-02-09","09","02","2020"
406,"2020-02-10","10","02","2020"
407,"2020-02-11","11","02","2020"
408,"2020-02-12","12","02","2020"
409,"2020-02-13","13","02","2020"
410,"2020-02-14","14","02","2020"
411,"2020-02-15","15","02","2020"
412,"2020-02-16","16","02","2020"
413,"2020-02-17","17","02","2020"
414,"2020-02-18","18","02","2020"
415,"2020-02-19","19","02","2020"
416,"2020-02-20","20","02","2020"
417,"2020-02-21","21","02","2020"
418,"2020-02-22","22","02","2020"
419,"2020-02-23","23","02","2020"
420,"2020-02-24","24","02","2020"
421,"2020-02-25","25","02","2020"
422,"2020-02-26","26","02","2020"
423,"2020-02-27","27","02","2020"
424,"2020-02-28","28","02","2020"
425,"2020-02-29","29","02","2020"
426,"2020-03-01","01","03","2020"
427,"2020-03-02","02","03","2020"
428,"2020-03-03","03","03","2020"
429,"2020-03-04","04","03","2020"
430,"2020-03-05","05","03","2020"
431,"2020-03-06","06","03","2020"
432,"2020-03-07","07","03","2020"
433,"2020-03-08","08","03","2020"
434,"2020-03-09","09","03","2020"
435,"2020-03-10","10","03","2020"
436,"2020-03-11","11","03","2020"
437,"2020-03-12","12","03","2020"
438,"2020-03-13","13","03","2020"
439,"2020-03-14","14","03","2020"
440,"2020-03-15","15","03","2020"
441,"2020-03-16","16","03","2020"
442,"2020-03-17","17","03","2020"
443,"2020-03-18","18","03","2020"
444,"2020-03-19","19","03","2020"
445,"2020-03-20","20","03","2020"
446,"2020-03-21","21","03","2020"
447,"2020-03-22","22","03","2020"
